id,slug,builder,in_nav,modified,disposition,reason,title
2725,webinars,WPB,nav,2026-07-10,MIGRATE,WPBakery + in nav,Virtual Events
5380,join-five-star-access,WPB,-,2026-07-02,MIGRATE,owner: keep,Join Five Star Access
5386,join-five-star-alliance,WPB,-,2026-06-24,MIGRATE,owner: keep,Join Five Star Alliance
2683,conferences,WPB,nav,2026-05-12,MIGRATE,WPBakery + organic traffic,Conferences
2597,memberships-old,WPB,-,2026-04-30,TRASH,superseded/old duplicate,Memberships (Old WPBakery)
363,home,WPB+ELE,nav,2026-03-09,MIGRATE,WPBakery + organic traffic,Home
2660,media,WPB,nav,2025-11-21,MIGRATE,WPBakery + organic traffic,Media
4965,reif-2,WPB,-,2025-09-16,TRASH,plan trash set,Real Estate Investment Forum Deal Room
3146,five-star-conference,WPB,-,2025-07-18,MIGRATE,WPBakery + organic traffic,Five Star Conference
2784,careers,WPB,nav,2024-02-29,MIGRATE,WPBakery + organic traffic,Careers
4407,key_concepts,WPB,-,2024-02-27,TRASH,WPBakery, no nav, no traffic, old,Realtor Lead Gen - Key Concepts
4358,lander,WPB,-,2024-01-19,TRASH,WPBakery, no nav, no traffic, old,Lander
13,contact,WPB,nav,2023-11-16,MIGRATE,WPBakery + organic traffic,Contact
4081,five-star-academy,WPB,-,2023-08-21,MIGRATE,WPBakery + organic traffic,Five Star Academy
3344,sponsored-lander,WPB,-,2023-07-06,TRASH,WPBakery, no nav, no traffic, old,Sponsored Lander
2916,amaa-directory,WPB,-,2023-07-06,TRASH,owner: retire (dup/unused),AM&amp;AA Directory
3208,fsi-lander-fb,WPB,-,2023-07-06,TRASH,WPBakery, no nav, no traffic, old,FSI Lander FB
3202,fsi-lander,WPB,-,2023-07-06,TRASH,WPBakery, no nav, no traffic, old,FSI Lander
3211,fsi-lander-google,WPB,-,2023-07-06,TRASH,WPBakery, no nav, no traffic, old,FSI Lander Google
2949,covid-19-press-release,WPB,-,2023-07-06,TRASH,WPBakery, no nav, no traffic, old,COVID-19 Press Release
2872,advertising-lander,WPB,-,2023-07-06,TRASH,WPBakery, no nav, no traffic, old,Advertising Lander
2861,2022-ll100-lander,WPB,-,2023-07-06,TRASH,WPBakery, no nav, no traffic, old,2022 LL100 Lander
2542,news,WPB,-,2023-07-06,TRASH,owner: retire (dup/unused),News
2831,2022-government-forum-lander,WPB,-,2023-07-06,TRASH,WPBakery, no nav, no traffic, old,2022 Government Forum Lander
2803,2022-di-symposium-lander,WPB,-,2023-07-06,TRASH,WPBakery, no nav, no traffic, old,2022 D&amp;I Symposium Lander
2795,2021-five-star-conference-marketing-assets,WPB,-,2023-07-06,TRASH,WPBakery, no nav, no traffic, old,2021 Five Star Conference Marketing Assets
9,resources,WPB,nav,2023-07-06,MIGRATE,WPBakery + in nav,Resources
3266,havana-nights,WPB,-,2023-07-06,TRASH,WPBakery, no nav, no traffic, old,Havana Nights
3269,havana-nights-landing,WPB,-,2023-07-06,TRASH,WPBakery, no nav, no traffic, old,Havana Nights Landing
2630,speakers,WPB,-,2023-07-06,TRASH,WPBakery, no nav, no traffic, old,Speakers
3579,legal-league-servicers-summit,WPB,-,2023-07-06,TRASH,WPBakery, no nav, no traffic, old,Legal League Servicers Summit
3552,government-forum,WPB,-,2023-07-06,TRASH,WPBakery, no nav, no traffic, old,GOVERNMENT FORUM
3292,single-family-rental-summit-assets,WPB,-,2023-07-06,TRASH,WPBakery, no nav, no traffic, old,Single-Family Rental Summit Assets
2931,cloud-nine,WPB,-,2023-07-06,TRASH,WPBakery, no nav, no traffic, old,Cloud Nine
2934,cloud-nine-landing,WPB,-,2023-07-06,TRASH,WPBakery, no nav, no traffic, old,Cloud-Nine-Landing
